Open,High,Low,Close,Volume,Date
310.1,321,310.1,319.9,2230100,1/3/2010
320,324,313.3,313.6,2002200,1/4/2010
313,319.9,312.6,315.8,2014200,1/5/2010
320,321.8,316.1,316.7,1798900,1/6/2010
317.1,322.5,317.1,321.8,2840300,1/7/2010
323,328.7,323,326.2,3032500,1/10/2010
327.9,327.9,321,322.1,1996800,1/11/2010
324,325,321,322.7,1749600,1/12/2010
324.9,327.5,313.6,317.7,2766800,1/13/2010
322,323,318.1,320.2,1578400,1/14/2010
323.8,325.6,319.2,320.1,1471500,1/17/2010
321,321.8,317.5,317.9,1331700,1/18/2010
319,324.8,316.9,320.7,1554500,1/19/2010
323.5,324.7,318.5,319.1,1113600,1/20/2010
319.5,321,317,318.6,1825200,1/21/2010
318.1,320,317,317.6,2075600,1/24/2010
317.5,319.9,317.4,318,1517700,1/25/2010
321,325.8,319.3,323.3,1915300,1/26/2010
325,327.4,323.4,325.4,2167000,1/27/2010
327,329,324,325.9,1929700,1/28/2010
327.7,328,323.1,324,1596500,1/31/2010
324.9,339,323.6,337.5,3501700,2/1/2010
339.5,346.9,338,340.9,3132900,2/2/2010
342.9,344,330,332.8,2146000,2/3/2010
332,334.5,323.2,329.9,1789200,2/4/2010
330.2,337.6,330,334.3,1158200,2/7/2010
335,338.5,333.1,334.1,1116100,2/8/2010
335,346,335,345.3,2791600,2/9/2010
347,360,347,358.6,3342900,2/10/2010
360,364.9,358,361,2288400,2/11/2010
363,365.3,359.9,364,4930700,2/14/2010
366,379.9,364,374.5,5962600,2/15/2010
377,377.5,367.3,368.1,4913900,2/16/2010
368,374.9,365.5,373.8,4326700,2/17/2010
375,384,375,380.6,3532400,2/18/2010
384,394.8,381,393.6,3272600,2/22/2010
395,398.4,388.2,391.2,3454800,2/23/2010
392,392,384.8,385.3,3050100,2/24/2010
385,387,379.5,383.6,2536900,2/25/2010
383,385,375.2,376.5,1933700,2/28/2010
379,383.5,371,379.5,1889800,3/1/2010
384,389.7,381,382.1,1887100,3/2/2010
386.5,386.7,381.7,382.5,1323000,3/3/2010
383.5,386.9,381.2,386,1358000,3/4/2010
387,389.9,384.1,387.8,2098400,3/7/2010
390,390,383.5,384.2,1435100,3/8/2010
382.2,385,379.2,379.8,1357900,3/9/2010
381,384,379,382.4,919700,3/10/2010
384.6,385,379.1,379.6,1183000,3/11/2010
377.5,380,372,372.5,1590000,3/14/2010
372.9,373.8,362,372.2,2037900,3/15/2010
375,386,375,384.8,1326900,3/16/2010
386.5,389,382,382.7,1337900,3/18/2010
385,389,383.5,387.1,2153700,3/21/2010
388.5,394.2,386,388.4,2058700,3/22/2010
391,391,380,381.2,1826800,3/23/2010
385,388,383.2,385.2,1081500,3/24/2010
386,386.8,382.4,383.1,1067000,3/25/2010
386,386,382,382.6,1054400,3/28/2010
384,385,379.7,380.2,856000,3/29/2010
381,383.9,378.6,381,713400,3/30/2010
382,383,380,380.1,593500,3/31/2010
381.6,383.5,380,381.6,690642,4/1/2010
382,383.6,377.5,377.8,696000,4/4/2010
379,379,375.2,376.3,824900,4/5/2010
377.5,381.7,377,378.8,553300,4/6/2010
384,387,383,384.6,1511500,4/8/2010
386.5,396,384.8,395.2,3578900,4/11/2010
397,402,396.5,398,2784400,4/12/2010
398.5,399.9,395,397.5,1701100,4/13/2010
398.5,406.1,398,404.9,2909600,4/15/2010
405,409.8,401,403.2,2338200,4/18/2010
402,408,401,407.3,1993700,4/19/2010
408.4,415,408.4,413.7,2006500,4/20/2010
415.1,417.8,408,409.8,2395700,4/21/2010
412,414.8,406.6,412.6,2663000,4/22/2010
411,414,403.8,405.3,2484600,4/25/2010
405,408.7,401.1,407,2100900,4/26/2010
409,413.9,405.1,412.9,2029200,4/27/2010
411.3,412.8,406.6,408.8,1868400,4/28/2010
410,417.5,410,414.7,3528700,4/29/2010
419,429,414,415.7,4812300,5/2/2010
417,418,410.2,413.6,2396700,5/3/2010
416.5,417.8,411.9,412.2,1877700,5/4/2010
414,417,412.2,413.6,1747100,5/5/2010
415,424.8,414.2,423.7,2522700,5/6/2010
424.9,439,424.9,437,2790800,5/9/2010
436.5,436.5,420,433.3,2648700,5/10/2010
435,439.9,430.2,434.4,2166300,5/11/2010
438,438.5,429.1,432,3200600,5/12/2010
434.5,445,434,444.4,3800200,5/13/2010
450,470,450,467.3,2419400,5/16/2010
469.9,478,430,455.1,5395200,5/17/2010
455,460,448,450.8,3481000,5/18/2010
299,315.5,298,313.1,5198700,5/20/2010
313,328,312,326.1,3123700,5/23/2010
330.5,334,321,322.7,2714000,5/24/2010
324,326,316.6,317.2,2832900,5/25/2010
320,327,313.6,324.9,3358500,5/26/2010
329.9,332.9,325,327.9,2109700,5/30/2010
329,332.4,322.3,323.7,1790900,5/31/2010
326,330.5,322,329.2,2644000,6/1/2010
328,336.4,328,332.1,2849800,6/2/2010
334,334.8,328.5,329.6,1812000,6/3/2010
331.9,332,325.1,326.2,1717400,6/6/2010
325,325,319,320.8,2794800,6/7/2010
324,330.9,323,324.6,1208700,6/8/2010
327,328,321.8,323,1681000,6/9/2010
325,327,322.7,324.2,1763100,6/10/2010
327.9,334,321.5,330.6,4282600,6/13/2010
333,336.9,328.6,329.6,2340000,6/14/2010
330,332.6,326,326.9,1223300,6/15/2010
330,331,323,324.6,2334600,6/16/2010
328.5,332.9,324.1,325.6,4229700,6/17/2010
325,328,315,318.1,2376500,6/20/2010
