Open,High,Low,Close,Volume,Date
506.25,517,505.25,512.75,41700,1/3/2010
518.75,533,516,531.25,94000,1/4/2010
534.75,546,532.5,539.25,81550,1/5/2010
542,542.75,533,539,73900,1/6/2010
539,551,538,549.25,119550,1/7/2010
558,575,546,568.75,157500,1/10/2010
578,582.5,565,579.75,224400,1/11/2010
582.5,588,574.75,579.25,142850,1/12/2010
583,583,550,554.25,173900,1/13/2010
564.5,570,556,568.5,72900,1/14/2010
575,575,561,562.5,93450,1/17/2010
556.25,564,546.25,549,88450,1/18/2010
553,558,550,554.75,77750,1/19/2010
558,564.75,556.5,562,106700,1/20/2010
560,563,555,557.5,57000,1/21/2010
554,560,550,555,84950,1/24/2010
555,557.5,550.75,553.25,99800,1/25/2010
554.75,559.75,552,555.75,63700,1/26/2010
553.5,558,552.75,556,79900,1/27/2010
551,574,550,559.75,228900,1/28/2010
565,575,552.25,555.5,284550,1/31/2010
564,575,564,570.5,280750,2/1/2010
565,581,562,576.75,265500,2/2/2010
579.75,585,565,567.5,222300,2/3/2010
572,573,559,560.25,121850,2/4/2010
570,570,515,521,448700,2/7/2010
513,520,499,500.75,300450,2/8/2010
495,495.25,481.5,488.5,178400,2/9/2010
484,507.5,484,502,120300,2/10/2010
508,510,489.5,491.25,113850,2/11/2010
485.5,491,460,465.25,215900,2/14/2010
460,480,460,475.25,64050,2/15/2010
477,480,470.25,474.5,30000,2/16/2010
472,485,471,479.5,26500,2/17/2010
484,484,471.25,474.75,29000,2/18/2010
472.25,474,464.5,465.25,55200,2/22/2010
465.25,465.25,445.25,452,108450,2/23/2010
456.5,457.75,447,450.75,60250,2/24/2010
451,453,446,448.5,57650,2/25/2010
456,459,445,446.25,44550,2/28/2010
454.5,456,438,440,60750,3/1/2010
440,442,437,439,29350,3/2/2010
437,444,437,441.75,33400,3/3/2010
443,474,440.25,465.75,87300,3/4/2010
469,469.5,455.5,457,23000,3/7/2010
464,464,449,459.75,56500,3/8/2010
457,463,456,458.75,32850,3/9/2010
461.75,461.75,453,457,31250,3/10/2010
454,464,453.5,459.75,26200,3/11/2010
457.25,462,446,451.75,25750,3/14/2010
447,454,444.25,450,23500,3/15/2010
450,459,450,457,16400,3/16/2010
460,460,450,452.5,32850,3/18/2010
464,470,446.5,462.25,31050,3/21/2010
455,462.25,453.25,455.25,22250,3/22/2010
454,458,449.5,450,31000,3/23/2010
458,458,448,449.75,37850,3/24/2010
450,459,449,457.75,70450,3/25/2010
446,446,400,430.25,241900,3/28/2010
430,449,427,443,51600,3/29/2010
440,440,433,438.5,15700,3/30/2010
445,465,445,459,84900,3/31/2010
469,475,460,461.75,82750,4/1/2010
462,465.75,450.25,455.25,25100,4/4/2010
450,460,450,452.75,28200,4/5/2010
441,453.5,431,436.75,77800,4/6/2010
435,448,430,438,27700,4/7/2010
443.5,445,434.75,441.25,47300,4/8/2010
444.75,452,437,449.5,50250,4/11/2010
454,470,451,464.75,139500,4/12/2010
457,462.25,452,459.75,58200,4/13/2010
455.25,461,454,458,39500,4/15/2010
464,464,455,455.75,31900,4/18/2010
457,463,452,453.75,40250,4/19/2010
451,458,450.25,452.75,54900,4/20/2010
454,454.75,447,450.75,30200,4/21/2010
456,478,450,471,96900,4/22/2010
477.75,484,465,476.75,117150,4/25/2010
470,470,452,454.75,151250,4/27/2010
453.5,453.5,437,439,81550,4/28/2010
430.25,442,429.25,430.5,71800,4/29/2010
443,443,429,430.25,53200,5/2/2010
425,436,421,430.75,27150,5/3/2010
425.5,433,425.5,427.75,21500,5/4/2010
427,435,425,425.75,34850,5/5/2010
425,428,419,424,52400,5/6/2010
434,437,422,431.75,38600,5/9/2010
440,440,430.25,432,42250,5/10/2010
437.5,441,435,436.75,21450,5/11/2010
431,443.75,431,437,40050,5/12/2010
439.75,440,430.25,432.5,45650,5/13/2010
430,438.5,430,433.75,33300,5/16/2010
433,434.5,425.5,427.5,44050,5/17/2010
430,430,421.25,424,36550,5/18/2010
421.5,431,421.5,427.25,31300,5/19/2010
428,432,424,425.75,43950,5/20/2010
423.25,440.25,423,438,71100,5/23/2010
438,459,437,452.5,109150,5/24/2010
440,467,440,451.5,51400,5/25/2010
440.25,455,440.25,453.25,30800,5/26/2010
430,444,430,437.5,37450,5/30/2010
447.75,448,438.5,445,34850,5/31/2010
449,463.5,447.25,458.75,68000,6/1/2010
461.75,461.75,450,453.5,42600,6/2/2010
451.25,458,448.5,453.75,47400,6/3/2010
460,460,442,447.25,48200,6/6/2010
447,450,443.25,445.5,35700,6/7/2010
447,459.75,447,455.5,50850,6/8/2010
450.5,457.75,444,450.75,45200,6/9/2010
454,458.5,445.5,457.5,90600,6/10/2010
445.5,451.75,403,442,96350,6/13/2010
431,436.75,422,428.75,120800,6/14/2010
438,455,435,436.5,31950,6/15/2010
441,442,434.25,439.25,44150,6/16/2010
431.25,440.5,431,435,21150,6/17/2010
432.5,439,431,433.5,9650,6/20/2010
430,435,429,429.5,12900,6/21/2010
431,437,425,429.25,8300,6/22/2010
427.5,428.75,421.75,423.75,59750,6/23/2010
444,460,432,452.25,125000,6/24/2010
454,454,437,446.75,25150,6/27/2010
431,445,430,440.75,13850,6/28/2010
437,450,435.5,446,20350,6/29/2010
442,451,438,444.5,35550,6/30/2010
444,462,444,459.5,105500,7/4/2010
464.75,524,460,499.25,249700,7/5/2010
510,517,481.5,485.5,80700,7/6/2010
493,501,475.25,498,51450,7/7/2010
485.5,501,485,496.25,55200,7/8/2010
490,499.75,483,486,26650,7/11/2010
483,487,470,479.75,27850,7/12/2010
476.25,498.25,476,494.75,30850,7/13/2010
500,520,500,510,127300,7/14/2010
516.75,520.5,501,513.5,143650,7/15/2010
493,520,492,510.75,84000,7/18/2010
504,524,504,516.5,125900,7/19/2010
525,552.5,525,547.5,284750,7/20/2010
554,598.75,552,586.5,431650,7/21/2010
599.75,599.75,580,591,230500,7/22/2010
589.25,593,545,552.75,157200,7/25/2010
551,571.5,549,560.75,102050,7/26/2010
577,577,556.5,559.75,65850,7/27/2010
562,603,558,576,147250,7/29/2010
589,590,561.25,587.25,62250,8/1/2010
598.75,599,583,590.25,86000,8/2/2010
599,600,580,582.25,156700,8/3/2010
580,588.5,566,569.75,154100,8/4/2010
563,590,563,584.5,210900,8/5/2010
584,585,566,573.25,179400,8/8/2010
571,593,571,588.5,149950,8/9/2010
585,598,585,591,93000,8/10/2010
591,593.25,574.5,577.25,95400,8/11/2010
578,587,578,579.5,29300,8/12/2010
586.75,590.75,582,586.75,73150,8/16/2010
581.5,589.5,566.25,574.5,50450,8/17/2010
588,588,573,577.75,68700,8/18/2010
586,587,572,578,70450,8/19/2010
585,585,570,572.5,81600,8/22/2010
570,575.5,566.5,569.25,96950,8/23/2010
567.5,579,565,567.75,57500,8/24/2010
565.25,575,561.5,568.5,81650,8/25/2010
569,577,560,565.25,60550,8/26/2010
588,606,579,581.25,136950,8/29/2010
577.25,583,575,579,72900,8/30/2010
574.5,655,574.25,640.25,292000,8/31/2010
669,736.25,665,734,560450,9/2/2010
770,844,738,831.75,401150,9/5/2010
820,827,751.25,779,317750,9/6/2010
795,798,771,780.75,165150,9/8/2010
798,798,750,758.75,118700,9/13/2010
768.75,773,745,749.25,119350,9/14/2010
750,750,698,725.5,299100,9/15/2010
705,726,705,712.5,99850,9/16/2010
702,749,676.25,701,174050,9/19/2010
715,765,702.25,751.5,167550,9/20/2010
750,770,740.25,742.5,117100,9/21/2010
735,749.75,724,730.25,173050,9/22/2010
729,745,726,736.5,81100,9/23/2010
745,752.75,719,736.5,106200,9/26/2010
744,755,732,746.5,88100,9/27/2010
751.25,789,741.5,748.75,114600,9/28/2010
750,760,732,741.25,71150,9/29/2010
736,748,711.25,718.5,149600,9/30/2010
715,745.75,715,732,108450,10/3/2010
744,745,725,729.25,73050,10/4/2010
720,720,620,670.25,516200,10/5/2010
700,735,700,708.5,241900,10/6/2010
719,720,685,697.5,49800,10/7/2010
660,697.75,660,666.5,146350,10/10/2010
687,687,671,680.75,70850,10/11/2010
689,689,662,669.75,58950,10/12/2010
680,684.75,665,675,81300,10/13/2010
689,699,681,693,79750,10/14/2010
693,718.75,691,704.25,115700,10/18/2010
709,710,681,682.25,70450,10/19/2010
681,689.5,675.25,678.25,48950,10/20/2010
694,696,665,684.25,51650,10/21/2010
699,786.75,699,755.75,323400,10/24/2010
765,765,701,708.25,262000,10/25/2010
710,725,695,699.75,126200,10/26/2010
710,710,697.5,701,101550,10/27/2010
710,710,684,692.5,100200,10/28/2010
724,724,680,690.5,66850,10/31/2010
700,700,688,698,79950,11/1/2010
696,696,680,683,80850,11/2/2010
681,690,681,687.25,64350,11/3/2010
690,690,683,687.75,71650,11/4/2010
682,700,679,684.25,77700,11/7/2010
689,689,671,672.75,34100,11/8/2010
665,685,660,668.5,52100,11/9/2010
670,687,656,671,119050,11/10/2010
672,680,650.5,660.25,97350,11/11/2010
660,675,660,667,33400,11/14/2010
668,670,665.25,669.75,57550,11/15/2010
669,676.75,652.5,671,50850,11/21/2010
670,670,667.25,668.5,60300,11/22/2010
669.5,670,655,658.25,109800,11/23/2010
660,660,652.5,653.75,82250,11/24/2010
