Open,High,Low,Close,Volume,Date
200,235,190,207.8,2381200,6/13/2010
202,205,190,190.3,1154200,6/14/2010
187.7,189,181.2,183.9,516400,6/15/2010
181.4,181.4,163,172.8,695400,6/16/2010
172,195,171.1,191.2,490000,6/17/2010
192,196,183.1,185.9,466200,6/20/2010
182,186.5,180.4,181.8,317400,6/21/2010
181,185,181,182,257800,6/22/2010
182.6,184.9,180,180.4,212200,6/23/2010
182.5,182.5,176,178.7,202200,6/24/2010
182,182,176,178.4,150400,6/27/2010
179.5,179.9,174.4,175.4,241800,6/28/2010
172.3,175,170.8,171.9,302200,6/29/2010
169.5,172.9,169.1,170.5,245200,6/30/2010
170.2,170.2,165,167.1,226800,7/4/2010
165.2,178.5,156,166.8,871400,7/5/2010
165,172.6,161,170.1,1078200,7/6/2010
172.5,181,171,179.3,700800,7/7/2010
181.4,181.5,175,177.6,523800,7/8/2010
175,176.8,172,172.3,401200,7/11/2010
173,174,169.1,170.1,300400,7/12/2010
170.2,172.9,170,170.8,276600,7/13/2010
171.8,174.9,170.7,171.2,440400,7/14/2010
171.1,187.8,171.1,183.9,1067000,7/15/2010
185,207.5,185,205.9,1879000,7/18/2010
208.5,214.8,206.1,212.5,1377000,7/19/2010
214,214.5,205.6,207.5,1185600,7/20/2010
206,222,205,218.6,1917800,7/21/2010
212.6,229,212.6,220.2,1379600,7/22/2010
225,235,220.1,226.7,1807400,7/25/2010
230,240,228.2,238.9,1533800,7/26/2010
240,244.9,225,227.6,2067800,7/27/2010
222,226,216.1,220,1106800,7/29/2010
222,224.5,214,214.7,1297800,8/1/2010
215,227.5,213,225.7,961200,8/2/2010
228.9,232,225,225.6,1018000,8/3/2010
226,228,220,221.5,675800,8/4/2010
222,224,219.1,220.1,659400,8/5/2010
221,223.9,215.6,216.7,814000,8/8/2010
216.7,219,214.4,215,619200,8/9/2010
218,222.9,215.1,216.7,697000,8/10/2010
218.5,221,215.7,216.3,429800,8/11/2010
216.2,217,213.5,214.1,430400,8/12/2010
213.3,214,208,209.4,416600,8/16/2010
210,212,206,206.9,575000,8/17/2010
207.4,218,207.1,215.2,595400,8/18/2010
215,221,215,215.4,458800,8/19/2010
215,221,214.6,218.9,667600,8/22/2010
220,225,218.9,222.3,946600,8/23/2010
225,226,220,221.5,644200,8/24/2010
218.4,220.5,214.6,215.3,499600,8/25/2010
218,218.8,213,214.9,380200,8/26/2010
213.5,218,212.1,213.3,321000,8/29/2010
214,216.9,212.6,213.1,334600,8/30/2010
212.5,215,210.2,213,377400,8/31/2010
214.1,218,213.3,216.8,444800,9/2/2010
215.2,221,215.2,218.2,496000,9/5/2010
216,216,209,214.3,459000,9/6/2010
216,216,210,210.9,478600,9/8/2010
209,212.6,205,211.2,222200,9/13/2010
211.5,212,209.1,209.9,232000,9/14/2010
212.9,212.9,209,209.4,234800,9/15/2010
208.2,210,207.2,207.6,271000,9/16/2010
206,210,206,206.8,284000,9/19/2010
209,214.9,207,212.2,307600,9/20/2010
211,215.9,208.9,209.5,326800,9/21/2010
209,210,207.1,207.7,297600,9/22/2010
208,210,207,207.2,268000,9/23/2010
210,210,206.4,206.9,304200,9/26/2010
207,222.4,207,219.2,1170800,9/27/2010
222,228.9,211,213.9,615000,9/28/2010
214,218,210.6,211.9,279400,9/29/2010
214.4,214.4,208.4,209.2,518200,9/30/2010
214,214,209,209.8,381600,10/3/2010
209.1,213.4,209.1,209.8,384000,10/4/2010
213,213.5,207.5,208.2,374400,10/5/2010
210,211,207.7,208.3,386600,10/6/2010
208.1,211,207,207.6,377200,10/7/2010
207.1,208,201,202.2,431400,10/10/2010
200.2,206.7,200,204.3,258600,10/11/2010
207,207.9,203.8,204,261200,10/12/2010
206,207.3,204,204.2,242800,10/13/2010
204,206.1,202,202.5,308400,10/14/2010
203,205,201.6,201.9,302400,10/18/2010
202.8,205,200,200.8,284200,10/19/2010
200.1,212,200.1,208.6,439400,10/20/2010
210,211.8,205.1,205.8,287800,10/21/2010
209.9,210,204,204.5,484400,10/24/2010
206,206,202.8,203,385200,10/25/2010
203.2,204.8,201,201.3,489200,10/26/2010
203.9,203.9,200,200.4,387600,10/27/2010
200,201.7,196,196.8,496400,10/28/2010
196,196,190.8,193.5,433200,10/31/2010
193.2,198.9,192.2,195.9,219000,11/1/2010
198,198.7,193.8,194,210200,11/2/2010
194.1,195,191.5,191.9,222600,11/3/2010
193,193.9,191.5,192.4,218400,11/4/2010
195,195.4,191.5,192,241600,11/7/2010
192.2,194.4,188,189.3,227800,11/8/2010
192,192,186.2,187.6,276400,11/9/2010
190,191.4,187,190.1,261200,11/10/2010
190,205,190,202,619200,11/11/2010
207,207,201.1,201.4,276200,11/14/2010
202,202.9,197.7,199,235000,11/15/2010
198.5,200,195,197.9,286800,11/21/2010
197,204.5,195.3,202.9,421600,11/22/2010
204.9,209,202,205.5,645200,11/23/2010
209,210,201.2,202.7,476000,11/24/2010
207,207,199,199.8,289600,11/25/2010
200,200.9,195,195.3,256000,11/28/2010
194.8,196.8,193,193.2,224200,11/29/2010
192.3,195,192.3,193.6,172200,11/30/2010
195,199.2,193.8,194.3,222400,12/1/2010
198.8,199,192,192.6,380800,12/2/2010
190,195,188,189.2,372400,12/5/2010
195.9,195.9,189.2,190.5,215200,12/6/2010
190,193.9,185.5,187,220800,12/7/2010
190,191,175,182.3,199600,12/8/2010
186,189.9,185,188.5,145000,12/9/2010
191.5,191.5,182,183.7,138800,12/12/2010
183,185,181.1,182.8,114200,12/13/2010
183,185,181.1,181.7,136000,12/14/2010
181.5,183,178,178.7,174800,12/15/2010
177,179,170,170.2,213600,12/19/2010
175,185,172.1,176.2,192800,12/20/2010
