Open,High,Low,Close,Volume,Timestamp,Date
2870,2969,2870,2953,65862,1262476800,1/3/2010
2970,3070,2961,3045.25,93158,1262563200,1/4/2010
3072.75,3100,3050,3086,65758,1262649600,1/5/2010
3100,3129,3070,3105.75,52409,1262736000,1/6/2010
3090,3115,3051,3063.25,41708,1262822400,1/7/2010
3060,3095,3056,3086.5,42357,1263081600,1/10/2010
3098,3099,3073,3092.75,35545,1263168000,1/11/2010
3100,3155,3100,3122.25,86054,1263254400,1/12/2010
3130,3149,3083,3090.25,66777,1263340800,1/13/2010
3131,3131,3095,3116.5,36260,1263427200,1/14/2010
3149,3250,3120,3244.25,91229,1263686400,1/17/2010
3250,3304,3250,3283.75,67674,1263772800,1/18/2010
3281,3295,3250,3255.5,45098,1263859200,1/19/2010
3280,3280,3236.25,3243.25,39760,1263945600,1/20/2010
3267,3267,3232,3247,36209,1264032000,1/21/2010
3259,3268,3240,3255,40623,1264291200,1/24/2010
3270,3348,3256,3339.25,66679,1264377600,1/25/2010
3349,3410,3332,3387.5,48344,1264464000,1/26/2010
3400,3518,3381,3505.25,92671,1264550400,1/27/2010
3530,3625,3500,3604.25,102837,1264636800,1/28/2010
3610,3648,3580,3592.25,101342,1264896000,1/31/2010
3590,3599,3565,3577.75,58498,1264982400,2/1/2010
3599,3645,3550,3637.25,93980,1265068800,2/2/2010
3644,3736,3602,3617.5,78257,1265155200,2/3/2010
3610,3680,3610,3644,41416,1265241600,2/4/2010
3650,3680,3641,3651.5,36859,1265500800,2/7/2010
3669,3684,3645,3675.75,43355,1265587200,2/8/2010
3690,3754.5,3681,3746.75,67666,1265673600,2/9/2010
3745,3780,3723,3729.75,35129,1265760000,2/10/2010
3759,3759,3693,3699.25,42126,1265846400,2/11/2010
3691,3727,3666.5,3722.25,52959,1266105600,2/14/2010
3710,3740,3680,3687.75,43143,1266192000,2/15/2010
3687,3714.75,3670,3673,31330,1266278400,2/16/2010
3675,3692,3645,3655.5,24514,1266364800,2/17/2010
3655,3684.75,3600,3651,34180,1266451200,2/18/2010
3651,3672.5,3599,3606.25,55444,1266796800,2/22/2010
3643.75,3644,3594,3605.25,35874,1266883200,2/23/2010
3600,3605,3560,3570.5,46544,1266969600,2/24/2010
3555,3650,3544.5,3609.75,56445,1267056000,2/25/2010
3620,3649.75,3589,3596.25,26904,1267315200,2/28/2010
3590,3600,3550,3554,26560,1267401600,3/1/2010
3547,3570,3514.25,3529.5,34358,1267488000,3/2/2010
3550,3599,3535,3570.75,17829,1267574400,3/3/2010
3599,3599,3570,3576,17065,1267660800,3/4/2010
3561,3595,3561,3565.25,14497,1267920000,3/7/2010
3560,3569.75,3550.25,3554,16937,1268006400,3/8/2010
3551,3560,3530,3535.75,16550,1268092800,3/9/2010
3521,3557.75,3521,3545.75,17275,1268179200,3/10/2010
3550,3560,3535,3543.5,20518,1268265600,3/11/2010
3549,3549,3516,3517.5,23561,1268524800,3/14/2010
3520,3520,3455,3490.75,36847,1268611200,3/15/2010
3499,3560,3499,3551.75,23989,1268697600,3/16/2010
3569,3574,3551,3560.5,21734,1268870400,3/18/2010
3553.5,3580,3553.5,3568,20110,1269129600,3/21/2010
3554.5,3595,3554.5,3585.5,25385,1269216000,3/22/2010
3595,3699,3579,3593.25,103276,1269302400,3/23/2010
3639,3685,3635.5,3672.25,37557,1269388800,3/24/2010
3685,3689,3632.25,3642.5,21650,1269475200,3/25/2010
3588,3646.5,3585,3592.75,32109,1269734400,3/28/2010
3600,3610,3570,3584,22938,1269820800,3/29/2010
3599,3634,3573,3600.75,20789,1269907200,3/30/2010
3605,3610,3571,3580.5,25523,1269993600,3/31/2010
3553,3601,3553,3575,10710,1270080000,4/1/2010
3600,3600,3559,3563.25,14476,1270339200,4/4/2010
3570,3588,3515,3520.75,37094,1270425600,4/5/2010
3540,3540,3488.75,3490.5,50677,1270512000,4/6/2010
3499.75,3510,3484,3495.25,28540,1270598400,4/7/2010
3509,3609,3509,3601,39412,1270684800,4/8/2010
3609,3644,3581,3594.5,25241,1270944000,4/11/2010
3600,3600,3560,3564,16712,1271030400,4/12/2010
3575,3600,3548,3551.75,17998,1271116800,4/13/2010
3580,3580,3550,3565.5,11272,1271289600,4/15/2010
3560.25,3580,3560,3569.75,21195,1271548800,4/18/2010
3588,3588,3552,3559.5,17131,1271635200,4/19/2010
3580,3599,3550,3588,27850,1271721600,4/20/2010
3600,3635,3590,3613,33150,1271808000,4/21/2010
3615,3620,3592,3593,20869,1271894400,4/22/2010
3595,3600.25,3572,3578.5,30832,1272153600,4/25/2010
3585,3598,3571.5,3581,35979,1272240000,4/26/2010
3580,3584,3555.5,3559.5,33771,1272326400,4/27/2010
3588,3588,3561,3574.75,27741,1272412800,4/28/2010
3585,3618,3563,3583.25,32440,1272499200,4/29/2010
3582,3610,3582,3596.5,25167,1272758400,5/2/2010
3588,3680,3588,3659,64675,1272844800,5/3/2010
3670,3690,3630,3646,58612,1272931200,5/4/2010
3645,3668,3640,3642.25,32554,1273017600,5/5/2010
3650,3660,3637,3651.75,37124,1273104000,5/6/2010
3660,3748,3636,3731.75,99872,1273363200,5/9/2010
3749,3805,3700,3781.25,81068,1273449600,5/10/2010
3799,3803,3761,3769,44470,1273536000,5/11/2010
3779,3779,3728,3738,60995,1273622400,5/12/2010
3726,3755,3705,3713.75,52247,1273708800,5/13/2010
3715,3746,3695,3704.75,48294,1273968000,5/16/2010
3740,3755,3700,3705.5,58236,1274054400,5/17/2010
3715.25,3735,3695.25,3702.25,43870,1274140800,5/18/2010
3705,3735,3705,3722,39769,1274227200,5/19/2010
3740,3762.75,3725,3747,40780,1274313600,5/20/2010
3765,3817,3755,3800.25,83738,1274572800,5/23/2010
3820,3935,3802,3899.5,133044,1274659200,5/24/2010
3919,3944,3870,3889,57625,1274745600,5/25/2010
3880,3920,3850,3893.25,59029,1274832000,5/26/2010
3919,3940,3865.25,3880.25,63767,1275177600,5/30/2010
3900,3900,3849,3860,55336,1275264000,5/31/2010
3899,3920,3871,3902.5,62525,1275350400,6/1/2010
3910,3945,3901.5,3917,48758,1275436800,6/2/2010
3940,3961,3913,3925,37352,1275523200,6/3/2010
3931,3940,3890.5,3908,38972,1275782400,6/6/2010
3925,3928,3830,3843.5,77081,1275868800,6/7/2010
3880,3893.75,3860,3882.5,39241,1275955200,6/8/2010
3895,3910,3863,3867,46971,1276041600,6/9/2010
3890,3905,3852,3893.75,68646,1276128000,6/10/2010
3905,4048,3885.25,4027.75,106414,1276387200,6/13/2010
4050,4183,4050,4131.5,89822,1276473600,6/14/2010
4150,4362,4132.5,4335.75,165595,1276560000,6/15/2010
4330,4350,4151,4204,112275,1276646400,6/16/2010
4205,4290,4175.25,4210.25,64229,1276732800,6/17/2010
4219.5,4237,4090,4095.5,81953,1276992000,6/20/2010
4100,4122.75,4006.25,4027.25,66125,1277078400,6/21/2010
