Date,Open,High,Low,Close,Volume,7ma,14ma,21ma,7macd,14macd,7rsi,14rsi,21rsi,7atr,14atr,21atr,7upper,7lower,14upper,14lower,21upper,21lower,7rsv,14rsv,21rsv,SQUARE_PHARMA,LHBL,RAK_CERAMIC,FT_3components,FT_6components,FT_9components,FT_27components,FT_81components,FT_100components
6/13/2010,327.9,334,321.5,330.6,4282600,327.3299558,336.8049072,347.6923186,11.60517109,22.98824356,-760,677.7777778,-75.91522158,7.157142857,8.628571429,12.12857143,332.6006194,318.5422377,333.6589151,317.2982278,464.7615133,244.3337248,100,89.93288591,11.34889754,2953,512.75,207.8,218.2130451,235.5794455,223.8326145,215.3731994,222.7499518,228.2047269
6/15/2010,330,332.6,326,326.9,1223300,327.6481001,334.6516856,344.3067966,7.899987377,21.58522408,1628.571429,314.4329897,-56.5106383,7.4,8.092857143,11.86666667,332.7619991,318.580858,333.2405166,320.0880548,439.7289982,248.4233828,62.24489796,53.98230088,8.949416342,3086,539.25,183.9,218.5169507,236.6984794,226.2836233,221.9224116,243.4204147,253.5148065
6/16/2010,330,331,323,324.6,2334600,326.8860751,333.3114608,342.515232,6.833464502,20.79108172,300,-7600,-30.48353189,7.685714286,7.707142857,11.2952381,332.0319927,320.3965788,333.2457536,320.0399607,414.7055381,259.8563666,21.05263158,33.62831858,8.098591549,3105.75,539,172.8,218.6660632,237.2539565,227.5093353,225.2004369,253.3314524,265.1879521
6/17/2010,328.5,332.9,324.1,325.6,4229700,326.5645563,332.2832659,340.9774543,5.926797518,19.94065714,860,-904.3478261,-34.36293436,7.814285714,7.771428571,9.428571429,332.0373508,320.6769349,333.0611492,319.8959937,386.6649216,275.5636499,34.21052632,42.47787611,9.077705156,3063.25,549.25,191.2,218.8132779,237.8066736,228.734885,228.4765367,262.8179928,275.9744717
6/20/2010,325,328,315,318.1,2376500,324.4484172,330.3921637,338.8976496,5.760499508,19.20846711,-175.5102041,-371.4285714,-33.53428787,8.785714286,7.978571429,9.476190476,333.8983864,317.4158993,333.9440475,318.2130953,334.1282925,315.4621837,0,0,26.31578947,3086.5,568.75,185.9,218.9585919,238.3565809,229.9600459,231.7475573,271.7833364,285.7322303
6/21/2010,320,320,311.3,312,1485100,321.3363129,327.939875,336.4523701,6.248535146,18.66281242,-60.6557377,-88.95348837,-4045.454545,9.414285714,7.992857143,9.057142857,337.206102,310.6224694,335.4967041,314.2032959,334.3596282,315.1260861,0,0,0,3092.75,579.75,181.8,219.102002,238.9036286,231.184591,235.0103517,280.1405919,294.3488052
6/22/2010,311.1,314.8,303,313.1,4117700,319.2772347,325.9612249,334.3293969,6.617531477,18.18139236,-12,-71.05263158,-250.7692308,9.314285714,8.235714286,8.857142857,335.4025801,307.4259913,334.970049,312.0156652,334.968883,313.278736,6.25,5.913978495,5.472636816,3122.25,579.25,182,219.2435052,239.447767,232.4082926,238.2617845,287.8142257,301.7438315
6/23/2010,315,315.9,310.5,310.9,4235100,317.182926,323.9530615,332.1994239,6.917921882,17.75940641,-11.22994652,-72.19251337,-276.2711864,8.9,8.171428571,8.495238095,332.5775272,304.9081871,334.8598293,309.4544565,335.8443274,311.2794822,0,0,0,3090.25,554.25,180.4,219.3830987,239.9889464,233.6309226,241.4987374,294.741368,307.8702879
6/24/2010,310.5,312,307.2,308,4009600,314.8871945,321.8259865,329.9994502,7.231834896,17.40645296,-11.11111111,-74.17582418,-354.3478261,8.642857143,8.021428571,8.276190476,329.8253858,302.2603285,335.3732801,306.3410056,336.9220565,309.3255626,0,0,0,3116.5,568.5,178.7,219.5207795,240.5271173,234.8522525,244.7181145,300.8728487,312.7147057
6/27/2010,309,309,304.1,306.4,3644100,312.7653959,319.7691883,327.8540225,7.467245286,17.09740943,-11.53846154,-93.75,-134.5945946,8.2,7.942857143,7.871428571,326.5418938,300.3438205,336.2745536,303.3825893,337.813287,306.6724273,0,0,0,3244.25,562.5,178.4,219.6565447,241.0622302,236.0720534,247.9168472,306.1739425,316.2963201
6/28/2010,308,309.2,305.6,306,1945500,311.0740469,317.9332964,325.8672737,7.506845498,16.79018506,-5.612244898,-52.15053763,-100,7.457142857,7.635714286,7.666666667,319.210126,302.0755883,336.2398292,300.7601708,338.0593001,304.3406999,0,0,0,3283.75,549,175.4,219.7903915,241.5942358,237.2900961,251.0918998,310.6248092,318.6652216
