SQUARE_PHARMA,LHBL,RAK_CERAMIC,Date
2953,512.75,207.8,6/13/2010
3045.25,531.25,190.3,6/14/2010
3086,539.25,183.9,6/15/2010
3105.75,539,172.8,6/16/2010
3063.25,549.25,191.2,6/17/2010
3086.5,568.75,185.9,6/20/2010
3092.75,579.75,181.8,6/21/2010
3122.25,579.25,182,6/22/2010
3090.25,554.25,180.4,6/23/2010
3116.5,568.5,178.7,6/24/2010
3244.25,562.5,178.4,6/27/2010
3283.75,549,175.4,6/28/2010
3255.5,554.75,171.9,6/29/2010
3243.25,562,170.5,6/30/2010
3247,557.5,167.1,7/4/2010
3255,555,166.8,7/5/2010
3339.25,553.25,170.1,7/6/2010
3387.5,555.75,179.3,7/7/2010
3505.25,556,177.6,7/8/2010
3604.25,559.75,172.3,7/11/2010
3592.25,555.5,170.1,7/12/2010
3577.75,570.5,170.8,7/13/2010
3637.25,576.75,171.2,7/14/2010
3617.5,567.5,183.9,7/15/2010
3644,560.25,205.9,7/18/2010
3651.5,521,212.5,7/19/2010
3675.75,500.75,207.5,7/20/2010
3746.75,488.5,218.6,7/21/2010
3729.75,502,220.2,7/22/2010
3699.25,491.25,226.7,7/25/2010
3722.25,465.25,238.9,7/26/2010
3687.75,475.25,227.6,7/27/2010
3673,474.5,220,7/29/2010
3655.5,479.5,214.7,8/1/2010
3651,474.75,225.7,8/2/2010
3606.25,465.25,225.6,8/3/2010
3605.25,452,221.5,8/4/2010
3570.5,450.75,220.1,8/5/2010
3609.75,448.5,216.7,8/8/2010
3596.25,446.25,215,8/9/2010
3554,440,216.7,8/10/2010
3529.5,439,216.3,8/11/2010
3570.75,441.75,214.1,8/12/2010
3576,465.75,209.4,8/16/2010
3565.25,457,206.9,8/17/2010
3554,459.75,215.2,8/18/2010
3535.75,458.75,215.4,8/19/2010
3545.75,457,218.9,8/22/2010
3543.5,459.75,222.3,8/23/2010
3517.5,451.75,221.5,8/24/2010
3490.75,450,215.3,8/25/2010
3551.75,457,214.9,8/26/2010
3560.5,452.5,213.3,8/29/2010
3568,462.25,213.1,8/30/2010
3585.5,455.25,213,8/31/2010
3593.25,450,216.8,9/2/2010
3672.25,449.75,218.2,9/5/2010
3642.5,457.75,214.3,9/6/2010
3592.75,430.25,210.9,9/8/2010
3584,443,211.2,9/13/2010
3600.75,438.5,209.9,9/14/2010
3580.5,459,209.4,9/15/2010
3575,461.75,207.6,9/16/2010
3563.25,455.25,206.8,9/19/2010
3520.75,452.75,212.2,9/20/2010
3490.5,436.75,209.5,9/21/2010
3495.25,438,207.7,9/22/2010
3601,441.25,207.2,9/23/2010
3594.5,449.5,206.9,9/26/2010
3564,464.75,219.2,9/27/2010
3551.75,459.75,213.9,9/28/2010
3565.5,458,211.9,9/29/2010
3569.75,455.75,209.2,9/30/2010
3559.5,453.75,209.8,10/3/2010
3588,452.75,209.8,10/4/2010
3613,450.75,208.2,10/5/2010
3593,471,208.3,10/6/2010
3578.5,476.75,207.6,10/7/2010
3581,454.75,202.2,10/10/2010
3559.5,439,204.3,10/11/2010
3574.75,430.5,204,10/12/2010
3583.25,430.25,204.2,10/13/2010
3596.5,430.75,202.5,10/14/2010
3659,427.75,201.9,10/18/2010
3646,425.75,200.8,10/19/2010
3642.25,424,208.6,10/20/2010
3651.75,431.75,205.8,10/21/2010
3731.75,432,204.5,10/24/2010
3781.25,436.75,203,10/25/2010
3769,437,201.3,10/26/2010
3738,432.5,200.4,10/27/2010
3713.75,433.75,196.8,10/28/2010
3704.75,427.5,193.5,10/31/2010
3705.5,424,195.9,11/1/2010
3702.25,427.25,194,11/2/2010
3722,425.75,191.9,11/3/2010
3747,438,192.4,11/4/2010
3800.25,452.5,192,11/7/2010
3899.5,451.5,189.3,11/8/2010
3889,453.25,187.6,11/9/2010
3893.25,437.5,190.1,11/10/2010
3880.25,445,202,11/11/2010
3860,458.75,201.4,11/14/2010
3902.5,453.5,199,11/15/2010
3917,453.75,197.9,11/21/2010
3925,447.25,202.9,11/22/2010
3908,445.5,205.5,11/23/2010
3843.5,455.5,202.7,11/24/2010
3882.5,450.75,199.8,11/25/2010
3867,457.5,195.3,11/28/2010
3893.75,442,193.2,11/29/2010
4027.75,428.75,193.6,11/30/2010
4131.5,436.5,194.3,12/1/2010
4335.75,439.25,192.6,12/2/2010
4204,435,189.2,12/5/2010
4210.25,433.5,190.5,12/6/2010
4095.5,429.5,187,12/7/2010
4027.25,429.25,182.3,12/8/2010
4110.5,423.75,188.5,12/9/2010
4093.5,452.25,183.7,12/12/2010
4058.5,446.75,182.8,12/13/2010
4065.25,440.75,181.7,12/14/2010
4017.75,446,178.7,12/15/2010
3951.75,444.5,170.2,12/19/2010
3928.25,459.5,176.2,12/20/2010
3913.75,499.25,177.9,12/21/2010
3991,485.5,175.8,12/22/2010
3916.5,498,172.4,12/23/2010
3893,496.25,171.2,12/26/2010
3877.5,486,174,12/27/2010
3832.75,479.75,172.9,12/28/2010
3802.25,494.75,171.6,12/29/2010
3770.75,510,171.6,12/30/2010
3721.75,513.5,171.5,1/2/2011
3742.5,510.75,170.2,1/3/2011
3876.75,516.5,166.8,1/4/2011
3867.5,547.5,165.6,1/5/2011
3807.25,586.5,159.9,1/6/2011
3820.25,591,146.3,1/9/2011
3820,552.75,130.8,1/10/2011
3762.5,560.75,156.9,1/11/2011
3790.75,559.75,155.9,1/12/2011
3794.25,576,154.7,1/13/2011
3790.5,587.25,152.9,1/16/2011
3828,590.25,149.8,1/17/2011
3876.5,582.25,146,1/18/2011
3945.75,569.75,138.7,1/19/2011
3942.5,584.5,122.7,1/20/2011
3917.5,573.25,134.9,1/25/2011
3908.25,588.5,148.3,1/26/2011
3911.75,591,156.6,1/27/2011
3936.5,577.25,181.5,1/30/2011
4107.25,579.5,176.3,1/31/2011
4099,586.75,167.9,2/1/2011
4033.25,574.5,163.4,2/2/2011
3991,577.75,156.8,2/3/2011
3965,578,147,2/6/2011
4000.25,572.5,140.5,2/7/2011
3995.75,569.25,154.5,2/8/2011
3997.75,567.75,145,2/9/2011
4031.25,568.5,118.7,2/13/2011
4009,565.25,106.9,2/14/2011
3139.75,581.25,109.3,2/15/2011
3108.5,579,120.1,2/20/2011
3068.25,640.25,108.7,2/22/2011
3047.5,734,105.7,2/23/2011
3069.25,831.75,101.6,2/24/2011
3043.75,779,92.7,2/27/2011
3033.5,780.75,89,2/28/2011
3038.75,758.75,97.8,3/1/2011
3064.5,749.25,90.4,3/2/2011
3088.5,725.5,94.6,3/3/2011
3064.5,712.5,97.1,3/6/2011
3079,701,104.3,3/7/2011
3293.75,751.5,113.8,3/8/2011
3555.75,742.5,123.6,3/9/2011
3650.5,730.25,129.6,3/10/2011
3569.25,736.5,116.7,3/13/2011
3543.5,736.5,121.6,3/14/2011
3471.75,746.5,116.2,3/15/2011
3478.5,748.75,117.8,3/16/2011
3438.5,741.25,118.4,3/20/2011
3485.25,718.5,114.8,3/21/2011
3536.5,732,114.4,3/22/2011
3700.75,729.25,111.8,3/23/2011
3735,670.25,106.7,3/24/2011
3812.5,708.5,103.6,3/27/2011
3747.75,697.5,109.6,3/28/2011
3629.5,666.5,108.7,3/29/2011
3680.25,680.75,107,3/30/2011
3677.75,669.75,107.9,3/31/2011
3637.25,675,108.9,4/3/2011
3623.75,693,119.2,4/4/2011
3621.75,704.25,118,4/5/2011
3602,682.25,117.6,4/6/2011
3712,678.25,129.2,4/7/2011
3686.75,684.25,126.8,4/10/2011
3696.25,755.75,117.7,4/11/2011
3771.25,708.25,129.2,4/12/2011
3771.75,699.75,132.8,4/13/2011
3764.25,701,130.2,4/17/2011
3773.25,692.5,125.7,4/18/2011
3738.75,690.5,123.1,4/19/2011
3692.25,698,121.4,4/20/2011
3698.25,683,124.3,4/21/2011
3680,687.25,120.6,4/24/2011
3659,687.75,115.3,4/25/2011
3650.25,684.25,115.9,4/26/2011
3641,672.75,121.4,4/27/2011
3647.25,668.5,116,4/28/2011
3633.75,671,112.5,5/2/2011
